,,0
0,0,ноги
0,1,живот
0,2,руки
1,0,тело
1,1,спина
1,2,руки
2,0,спина
2,1,тело
2,2,шея
3,0,шея
3,1,тело
3,2,спина
4,0,ноги
4,1,руки
4,2,живот
4,3,поясница
4,4,шея
4,5,бедра
4,6,лицо
4,7,Плечи
4,8,Шея
4,9,Спина
4,10,Ягодицы
4,11,позвоночника
4,12,пресса
4,13,груди
4,14,икры
4,15,под коленом
4,16,ступни
5,0,живот
5,1,руки
5,2,тело
6,0,спина
6,1,тело
6,2,руки
7,0,шея
7,1,спина
7,2,живот
8,0,стопы
8,1,тело
8,2,спина
9,0,тело
10,0,живот
10,1,бедра
10,2,тело
11,0,бедра
11,1,живот
11,2,ягодицы
12,0,тело
13,0,тело
13,1,живот
13,2,спина
14,0,зона вокруг глаз
14,1,лицо
15,0,тело
15,1,руки и ноги
15,2,спина пресс руки и ноги для пресса
17,0,живот
17,1,тело
17,2,спина
18,0,бедра
18,1,живот
18,2,плечи
19,0,тело
19,1,мышцы
19,2,руки
20,0,бедра
20,1,живот
20,2,плечи
21,0,бедра
21,1,живот
21,2,ноги
23,0,живот
23,1,ноги
23,2,руки
24,0,бедра
24,1,живот
24,2,плечи
25,0,спина
25,1,шейный отдел позвоночника
25,2,воротниковая зона
26,0,живот
26,1,бедра
26,2,тело
27,0,живот
27,1,спина
27,2,тело
28,0,спина
28,1,тело
28,2,шея
29,0,живот
29,1,тело
29,2,спина
30,0,лицо
30,1,тело
31,0,тело
31,1,ноги
31,2,шея
32,0,шея
32,1,голова
32,2,ноги
32,3,руки
32,4,живот
32,5,остеохондроз аппарат
33,0,спина
33,1,тело
33,2,мышцы
34,0,спина
34,1,тело
34,2,мышцы
35,0,спина
35,1,шейный отдел позвоночника
35,2,воротниковая зона
36,0,ноги
36,1,руки
36,2,живот
36,3,поясница
36,4,шея
36,5,бедра
36,6,лицо
36,7,Плечи
36,8,Шея
36,9,Спина
36,10,Ягодицы
36,11,позвоночника
36,12,пресса
36,13,груди
36,14,икры
36,15,под коленом
36,16,ступни
38,0,живот
39,0,живот
39,1,тело
39,2,спина
41,0,Спина
41,1,плечи
41,2,ноги
41,3,руки
41,4,ягодицы
41,5,Живот
41,6,Талия
41,7,поясница
41,8,бедра
42,0,живот
42,1,руки
42,2,плечи
43,0,живот
43,1,руки
43,2,плечи
44,0,спина
44,1,тело
44,2,мышцы
45,0,живот
45,1,бедра
45,2,тело
46,0,ноги
46,1,руки
46,2,тело
48,0,живот
48,1,тело
49,0,живот
49,1,ноги
49,2,спина
50,0,тело
50,1,лицо
50,2,руки и ноги
52,0,грудная клетка
52,1,живот
52,2,бедра
53,0,тело
53,1,руки
53,2,шея
54,0,живот
54,1,бедра
54,2,тело
55,0,шея
55,1,спина
55,2,живот
56,0,ноги
56,1,стопы
57,0,живот
57,1,спина
57,2,тело
58,0,ноги
58,1,руки
58,2,живот
58,3,поясница
58,4,шея
58,5,бедра
58,6,лицо
58,7,лечи
58,8,Шея
58,9,Спина
58,10,Ягодицы
58,11,позвоночника
58,12,пресса
58,13,груди
58,14,икры
58,15,под коленом
58,16,ступни
59,0,тело
59,1,руки
59,2,шея
60,0,бедра
60,1,плечи
60,2,спина
61,0,тело
61,1,спина
61,2,ноги
62,0,плечи
62,1,спина
62,2,рук и ног
63,0,живот
63,1,спина
63,2,тело
64,0,тело
64,1,руки
64,2,шея
65,0,Шея
65,1,Плечи
67,0,спина
67,1,тело
67,2,мышцы
68,0,спина
68,1,пресс
68,2,руки и ноги
69,0,бедра
69,1,живот
69,2,ноги
70,0,тело
70,1,шея
70,2,живот
71,0,тело
71,1,шея
71,2,спина
72,0,тело
72,1,руки
72,2,шея
73,0,зона вокруг глаз
73,1,лицо
73,2,декольте
74,0,Все тело шея спина ноги плечи руки ягодицы живот
75,0,плечи
75,1,шея
75,2,спина
76,0,Для всего тела
76,1,для лица и рук
76,2,для шеи и спины
77,0,все тело
78,0,стопы
78,1,ноги
80,0,спина
80,1,пресс
80,2,руки и ноги
81,0,шея
81,1,плечи
81,2,спина
82,0,плечи
82,1,шея
82,2,спина
83,0,стопы
83,1,ноги
83,2,пятки
84,0,плечи
84,1,шея
84,2,спина
86,0,воротниковая зона
86,1,шея
86,2,плечи
86,3,спина
86,4,шея
87,0,шея
87,1,плечи
87,2,спина
88,0,ноги
89,0,ноги
90,0,спина
90,1,тело
90,2,шея
91,0,шея
92,0,зона вокруг глаз
92,1,лицо
92,2,декольте
93,0,лицо
93,1,шея
93,2,зона вокруг глаз
94,0,ноги
94,1,шея
94,2,спина
95,0,лицо
95,1,шея
95,2,зона вокруг глаз
96,0,лицо
96,1,зона вокруг глаз
96,2,декольте
98,0,зона вокруг глаз
98,1,лицо
98,2,шея
99,0,шея
99,1,спина
99,2,плечи
100,0,лицо
100,1,шея
100,2,зона вокруг глаз
102,0,бедра
102,1,живот
102,2,ягодицы
103,0,бедра
103,1,спина
103,2,руки
104,0,спина
104,1,поясница
104,2,шея
105,0,тело
105,1,руки
105,2,шея
106,0,воротниковая зона
106,1,ноги
106,2,живот
107,0,спина
107,1,живот
107,2,ноги
108,0,ноги
108,1,стопы
108,2,тело
110,0,икры
110,1,Массаж всех групп мышц
110,2,Ноги
110,3,Спина
110,4,Шея
110,5,Руки
110,6,Ягодицы
111,0,пресс
111,1,живот
111,2,тело
113,0,Шеи
113,1,ног
113,2,спины
114,0,лицо
114,1,шея
114,2,зона вокруг глаз
115,0,стопы
115,1,ноги
115,2,пятки
116,0,массаж тела
116,1,массажер для ног электрический
116,2,массаж спины и поясницы
117,0,бедра
117,1,живот
117,2,тело
118,0,бедра
118,1,спина
118,2,руки
119,0,живот
120,0,тело
120,1,ягодицы
120,2,ноги
121,0,ноги
121,1,стопы
121,2,тело
122,0,ноги
122,1,стопы
123,0,воротниковая зона
123,1,шея и голова
123,2,плечи и спина
124,0,тело
124,1,ягодицы
124,2,ноги
125,0,массаж тела
125,1,массажер для ног электрический
125,2,массаж спины и поясницы
126,0,тело
126,1,ягодицы
126,2,ноги
127,0,бедра
127,1,ноги
127,2,спина
128,0,зона вокруг глаз
128,1,шея
128,2,лицо
129,0,спина
129,1,тело
129,2,шея
130,0,для лица
130,1,микротоковый аппарат для лица
131,0,лицо
131,1,шея
131,2,зона вокруг глаз
132,0,ноги
132,1,стопы
133,0,лицо
133,1,шея
133,2,декольте
134,0,тело
134,1,ноги
134,2,шея
135,0,массажер для ног шеи тела спины лица
135,1,Спина
135,2,шея
135,3,плечи
135,4,ноги
135,5,руки
135,6,бедра
135,7,поясница
135,8,антицеллюлитный массажер от целлюлита
136,0,шея
137,0,вокруг глаз
137,1,зона вокруг глаз
138,0,зона вокруг глаз
138,1,лицо
138,2,шея
139,0,массажер для шеи
139,1,плеч и спины
139,2,массажер для головы и тела
139,3,Электроимпульсный массажер шейных позвонков
140,0,лицо
140,1,шея
140,2,Вокруг глаз
141,0,зона вокруг глаз
141,1,лицо
141,2,шея
142,0,лицо
142,1,шея
142,2,зона вокруг глаз
144,0,зона вокруг глаз
144,1,лицо
144,2,шея
145,0,тело
145,1,ягодицы
145,2,ноги
146,0,зона вокруг глаз
146,1,лицо
146,2,шея
147,0,лицо
147,1,шея
147,2,зона вокруг глаз
148,0,ноги
148,1,стопы
149,0,лицо
149,1,зона вокруг глаз
149,2,шея
150,0,зона вокруг глаз
150,1,шея
150,2,лицо
151,0,бедра
151,1,живот
151,2,ягодицы
154,0,ноги
154,1,стопы
154,2,икры
155,0,лицо
155,1,шея
155,2,зона вокруг глаз
156,0,зона вокруг глаз
156,1,лицо
156,2,шея
157,0,лицо
157,1,зона вокруг глаз
157,2,декольте
158,0,спина
158,1,шея
158,2,плечи
159,0,шея
159,1,спина
159,2,тело
161,0,зона вокруг глаз
161,1,лицо
161,2,шея
162,0,для ног
162,1,для шеи
162,2,для тела
163,0,для тела
163,1,для спины
163,2,для шеи
163,3,для бедер
163,4,для ягодиц
163,5,для рук
163,6,Для ног
163,7,для лица
164,0,ноги
165,0,для тела
165,1,для спины
165,2,для шеи
165,3,для бедер
165,4,для ягодиц
165,5,для рук
165,6,Для ног
165,7,для лица
166,0,спина
166,1,шея
166,2,плечи
167,0,зона вокруг глаз
167,1,шея
167,2,лицо
168,0,лицо
168,1,для ног шеи тела спины лица
168,2,Спина
168,3,шея
168,4,плечи
168,5,ноги
168,6,руки
168,7,бедра
168,8,поясница
169,0,для глаз
169,1,для лица
169,2,для шеи
170,0,для ног шеи тела спины лица
170,1,лицо не против морщин
170,2,Спина
170,3,шея
170,4,плечи
170,5,ноги
170,6,руки
170,7,бедра
170,8,поясница
170,9,живот
171,0,поясница
171,1,живот
171,2,ягодицы
172,0,лицо
172,1,зона вокруг глаз
172,2,шея
173,0,лицо
173,1,зона вокруг глаз
173,2,руки и шея
175,0,плечи
175,1,бедра
175,2,живот
177,0,овал лица
177,1,подбородок
177,2,лицо
178,0,от морщин
178,1,для массажа лица
178,2,для кожи вокруг глаз
179,0,зона вокруг глаз
179,1,лицо
179,2,шея
